,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g19629,141.15131321832,-3.83460289910864,0.529449863050222,-7.24261760503072,4.40106510987249e-13,5.2601896948621894e-11
g851,245.683617550653,3.14488634185521,0.434546571233138,7.2371675443918,4.58152038752588e-13,5.438106716531579e-11
g126,198.185658548018,2.58061159498016,0.356720819506045,7.23426123138413,4.68070043394788e-13,5.5177763814162294e-11
g8428,138.26966044772,-4.01340688811093,0.554920470786953,-7.23240013549937,4.74531574361665e-13,5.55589314716912e-11
g17795,5922.59863545225,2.02163282214581,0.279726557703255,7.22717513397652,4.93143984145472e-13,5.7347980480592697e-11
g13279,511.842236438211,-5.2593595109395,0.729288869173976,-7.21162728960402,5.52871312264829e-13,6.386220238516749e-11
g7682,1917.60848280204,2.23840075869947,0.3109833875959,7.19781457139475,6.11852725271473e-13,7.02039816976488e-11
g4001,1521.05888332495,-2.93233221687475,0.409247336154574,-7.16518339356323,7.7682489792098e-13,8.85426047557483e-11
g15579,3293.5475341839,-2.475687835558,0.345581225764297,-7.16383776370578,7.84492391992308e-13,8.882827999065539e-11
g7864,345.76317121291,2.26632187724111,0.316601803078609,7.15827217407984,8.17002252886414e-13,9.190474362371289e-11
