gene_id,zoospore-A,zoospore-B,germinating cyst-A,germinating cyst-B,mycelia_48h-A,mycelia_48h-B,mycelia_96h-A,mycelia_96h-B,Early infection-A,Early infection-B,Late infection-A,Late infection-B
g18880,5.87023445,6.0315198,3.118142179,4.40404771,4.520951812,4.008913629,5.654237821,8.964110513,4.824857655,7.343451759,8.36813937,4.196306782
g18881,0.946241952,0.830812561,3.973593084,4.100320282,4.693938169,4.416033316,4.088724779,7.325949743,3.635280681,4.796757159,4.351249262,3.534819998
g18887,8.348777885,5.735633923,18.42102457,8.066361068,14.63526726,11.22495816,2.788391254,5.684557887,1.25446299,2.226225375,2.603421137,0.932512618
g18896,179.6635713,211.7061751,202.8331798,177.7394777,113.2984106,89.78248204,7.555939154,19.09645967,6.841216078,8.855983613,8.085963305,8.109612222
g18897,36.72337291,30.17221581,63.59293637,37.93945688,47.61323306,36.39142979,3.361844807,8.193866961,2.102575583,2.384937544,4.862221653,2.519495101
g18901,0.318169889,0.099923936,0.666919716,1.085464904,3.508032943,5.17473279,0.158688933,0.255965083,0.164751237,0.180993933,0.362846152,0.454884204
g18911,0,0,1.290904686,1.134089539,1.131704476,0.502934031,4.926556794,6.632296986,2.911480628,3.328191012,4.852483297,4.866675295
g18912,0.043713288,0,0,0,0,0,0.498336826,0.322364021,0.549710414,0.341917331,0.124628374,0.312482182
g18916,7.154558368,10.43226494,9.584392614,10.89661289,11.12082608,9.181397749,3.095018471,7.366032979,2.835225632,3.997260339,2.185493444,3.653142215
g18917,3.656088974,2.087682846,10.52889919,9.06120161,9.597807884,7.72244606,5.548293198,10.66378159,6.216856817,8.947194097,7.44547096,6.041681369
g18918,4.12057846,3.69743544,6.391591825,6.804253712,5.333671754,4.160018835,2.273700702,4.403345994,2.498070051,3.040189028,3.003232241,2.214717468
g18924,21.29080557,20.32098467,15.35653762,17.97101933,24.85203038,22.96465908,0.313859205,0.551254976,0.282402806,0.459400774,0.251176379,0.503821983
g18925,7.873020321,1.831546967,2.787985948,2.694240952,2.632171124,1.930083304,0.346270809,0.586461176,0.934697914,0.898492921,0.277114855,0.694813323
g18926,8.076152764,1.1661535,3.789203028,2.672118835,2.962776887,3.160007977,0.992124229,1.555842694,1.167362564,1.980256654,2.381942293,1.459888668
g18927,2.044159534,0.668734932,0.986628651,0.817245967,0.988517874,1.570502246,0.637209685,2.141288657,1.039582732,0.999315085,0.364248907,0.547971332
g18928,11.99006571,10.67851391,16.485196,16.31246552,16.35604529,16.58338723,0.191261494,0.659857039,0.397136298,0.509004598,0,1.02340735
g18929,8.017275803,7.789560216,4.7403469,5.307203371,5.777500344,4.112575569,0,0,0,0.074521286,0,0
g18931,0.752109732,0.393677337,1.621764771,1.384997073,0.793541245,0.743509923,0,0.022919172,0.101155636,0.09723743,0,0.048876523
g18932,0.450644261,0.786270163,5.303022224,4.644268494,1.162257379,0.710203813,0,0,0,0,0,0
