,zoospore-A,zoospore-B,germinating cyst-A,germinating cyst-B,mycelia_48h-A,mycelia_48h-B,mycelia_96h-A,mycelia_96h-B,Early infection-A,Early infection-B,Late infection-A,Late infection-B
g15828,36,23,279,246,537,390,564,1019,403,408,101,289
g15829,788,632,864,455,3725,2765,1658,3922,705,1624,22,98
g15830,0,0,0,0,0,1,1,3,0,0,2,1
g15831,481,427,304,357,720,716,431,387,368,373,100,212
g15832,707,613,220,180,802,656,1047,2297,445,937,43,127
g15833,1593,1588,703,691,813,602,714,1102,698,1019,255,497
g15834,25,37,11,26,2,4,1,7,7,6,0,3
g15835,147,116,88,107,91,71,112,192,71,108,24,55
g15836,137,102,222,179,239,187,317,408,302,357,100,182
g15837,175,110,82,69,1943,2061,2017,516,4482,2560,573,2271
g15838,49,53,29,38,2125,2289,865,328,1878,1183,248,1013
g15839,97,78,38,32,257,237,114,242,87,113,9,32
g15840,23,22,26,58,113,127,0,4,2,1,2,1
g15841,95,76,61,88,101,99,69,81,49,28,11,21
g15842,135,139,40,88,70,89,223,248,220,245,28,115
g15844,0,0,0,0,0,1,0,0,0,0,0,0
g15845,218,185,639,641,1552,1490,2450,1785,2010,1947,412,851
g15846,158,126,240,303,630,619,881,728,754,655,311,455
g15847,3,1,0,0,37,32,163,144,94,86,42,100
g15848,7,3,0,0,0,1,3,3,3,0,3,4
g15849,3,3,0,0,0,0,0,0,0,0,0,0
g15850,1,0,0,0,0,0,0,2,0,0,0,2
g15851,827,718,512,506,173,132,741,1212,758,932,199,336
g15852,20,14,61,53,78,58,213,238,219,181,48,110
g15853,178,188,100,111,208,215,77,81,195,144,20,50
g15854,206,200,248,138,385,372,36,32,57,45,30,59
g15855,257,171,516,303,1194,1002,328,166,677,481,269,1232
g15856,28,33,53,40,161,177,131,122,175,87,31,122
g15857,3122,3714,211,158,1022,700,265,347,417,297,180,668
g15858,167,260,8,9,84,54,57,77,46,24,9,21
g15859,26,23,2,0,10,8,0,2,1,2,0,0
g15860,1588,1599,591,634,531,439,1996,2615,1736,1518,284,544
g15861,54,63,509,358,400,400,109,18,136,160,0,3
g15862,723,694,748,732,921,922,490,810,389,531,89,171
g15863,836,656,427,484,405,362,541,706,588,655,190,357
g15864,91,88,23,37,265,238,22,64,41,58,8,26
g15865,626,596,247,278,689,733,247,267,221,223,131,194
g15866,15724,19032,1450,1102,2330,2598,669,589,1358,1527,435,1482
g15867,1727,1352,641,971,838,639,1889,2239,1720,2332,880,1479
g15868,58,29,0,0,1,0,1,5,0,1,1,1
g15869,8403,5230,0,3,7,2,4,7,17,7,161,261
g15870,1198,632,106,80,828,921,68,76,274,146,37,135
g15871,7,2,15,21,586,742,17,22,14,18,4,5
g15872,611,185,519,336,170,110,56,80,193,95,15,27
g15873,177,181,315,375,1704,1564,1398,1405,2097,1718,434,1228
g15874,227,182,757,789,425,295,3662,4428,3545,3430,498,948
g15875,29,21,22,14,35,48,18,46,27,53,8,14
g15876,44,40,49,42,161,159,67,123,115,201,22,34
g15877,77,73,21,19,132,148,115,264,150,157,29,59
g15878,111,117,324,426,1105,1026,821,1156,1026,1554,209,459
g15879,737,594,712,947,1013,1109,3172,5159,2457,3624,1150,1446
g15880,51,27,2090,1216,1168,903,994,1143,916,1039,173,421
g15881,1327,973,144,119,551,644,96,66,435,577,24,62
g15882,276,181,66,107,97,90,510,594,342,232,106,183
g15883,904,628,121,96,483,574,99,75,488,684,33,80
g15884,17,12,2,0,11,5,18,13,41,49,0,5
g15885,2272,1759,254,392,1267,852,669,252,1219,654,275,663
g15886,320,254,49,45,183,221,285,176,159,122,141,195
g15887,439,350,293,323,1558,1340,785,1120,737,537,322,668
g15888,50,48,301,311,486,376,321,423,333,309,117,307
g15889,128,163,84,145,194,197,1001,1565,937,895,316,791
g15890,42,17,53,106,199,211,102,129,129,143,48,82
g15891,1662,1382,646,568,1690,1713,962,1256,862,986,372,850
g15892,312,222,162,187,284,270,196,230,183,226,59,102
g15893,740,548,138,210,509,438,566,954,506,621,258,634
g15894,1590,1392,2940,2246,1369,1280,1503,2085,1428,1844,326,645
g15895,331,307,405,383,288,193,1031,1581,761,612,93,233
g15896,118,134,144,198,226,141,265,288,358,409,74,216
g15897,419,461,86,125,42,27,90,167,52,57,13,38
g15898,162,168,268,332,1277,1079,862,596,919,678,310,831
g15899,4869,3587,1343,1161,646,399,301,195,1329,809,67,286
g15900,402,326,352,346,621,614,389,536,434,488,125,378
g15901,23176,23288,26292,30098,28408,33179,51832,37835,52166,45748,11538,21167
g15902,120,128,22,51,54,50,55,99,43,64,12,19
g15903,157,150,113,81,78,50,74,145,77,86,22,50
g15904,1701,1603,172,222,494,532,425,451,466,514,177,461
g15905,579,492,302,293,843,1194,459,531,528,583,237,440
g15906,40,29,11,14,63,85,46,43,21,44,3,11
g15907,75,63,0,0,1,3,2,2,0,0,0,1
g15908,207,148,9,8,33,29,14,34,17,17,3,9
g15909,134,139,232,276,287,267,508,617,533,527,202,379
g15910,186,139,188,177,96,73,773,773,595,605,130,225
g15911,416,463,208,249,215,147,515,746,268,388,128,223
g15912,0,0,0,0,1,0,5,11,1,6,3,2
g15928,1,0,0,0,0,0,0,0,0,0,0,0
g15929,1,0,0,0,0,0,0,0,0,0,0,0
g15934,157,149,33,57,38,32,291,399,243,256,78,191
g15935,127,191,9,31,104,72,513,1056,573,1022,315,335
g15936,542,467,781,760,907,932,1141,1135,1406,1485,260,544
g15937,464,486,508,409,533,458,381,376,395,406,81,160
g15938,68,51,152,176,182,139,283,328,254,272,41,136
g15939,572,487,1547,1661,828,695,1014,1625,1050,1480,277,555
g15940,95,38,86,77,125,109,288,234,271,239,53,113
g15941,35,25,26,37,60,67,56,94,45,62,19,33
g15942,166,137,150,235,253,264,220,372,231,228,44,98
g15943,452,359,187,268,311,267,761,1717,439,514,143,393
g15944,210,177,130,167,133,157,455,661,273,256,62,152
g15945,5399,5153,4029,3780,742,456,2213,3125,2346,2343,205,380
g15946,457,535,4083,3698,2229,2115,2474,2913,2606,2723,564,1385
g15947,1267,1477,1051,1142,1531,1827,857,1593,972,1241,234,392
g15948,1144,1185,78,109,197,259,422,729,290,517,231,293
g15949,166,125,5,23,188,112,803,1315,592,1009,361,438
g15950,402,426,648,735,1007,1119,1503,2016,1549,1606,367,961
g15951,88,95,10,21,30,28,3,0,0,4,1,7
g15952,1,2,0,1,0,5,0,0,0,0,0,0
g15953,0,11,1,3,0,5,0,0,0,0,0,0
g15954,0,1,0,0,0,0,0,0,0,0,0,1
g15955,15,17,17,34,25,22,336,655,327,342,78,224
g15956,359,308,36,72,93,71,101,160,103,101,45,40
g15957,167,158,7,24,357,464,248,225,325,201,67,187
g15958,221,214,234,299,329,243,460,730,416,390,122,264
g15959,15,12,6,14,8,4,23,38,24,26,6,18
g15960,34,20,24,37,65,53,182,129,168,186,17,33
g15961,57,77,203,328,350,230,324,434,279,298,110,197
g15962,573,488,610,647,668,655,430,563,590,628,97,212
g15963,1153,907,463,502,537,494,765,871,841,865,231,521
g15964,177,134,195,187,223,214,498,592,490,461,121,270
g15965,183,160,75,115,86,92,70,108,76,75,8,67
g15966,1122,849,1823,1799,2180,1609,1374,2541,1303,1565,480,1000
g15967,58,71,42,82,94,95,525,515,455,474,132,298
g15968,116,55,41,42,197,157,763,736,652,477,177,386
g15969,284,211,84,77,215,218,424,494,390,310,91,204
g15970,322,352,108,117,214,281,194,294,158,208,71,108
g15971,366,304,154,175,275,253,819,947,612,598,161,358
g15972,205,180,237,221,75,47,270,449,293,260,73,119
g15973,9047,8200,728,666,735,507,794,562,1245,752,226,602
g15974,444,566,107,113,191,200,192,332,342,385,45,145
g15975,870,1484,16,29,33,38,42,81,106,107,19,24
g15976,65,69,114,107,49,50,353,400,308,362,78,128
g15977,86,34,38,76,68,62,37,56,36,41,8,41
g15978,3108,2472,2258,1833,4621,5750,3655,5404,3112,3305,1239,2931
g15979,2535,2071,131,137,322,353,115,118,184,167,30,120
g15980,97,113,310,421,52,49,49,40,61,53,9,38
g15981,62,54,6,17,19,26,34,51,47,50,14,44
g15982,37,47,44,59,113,111,120,216,105,105,29,90
g15983,22,10,0,2,0,1,3,5,0,2,0,1
g15984,5,4,0,0,0,0,2,0,0,0,0,1
g16003,673,443,1398,1728,1339,953,2027,2361,1731,1668,467,1178
g16004,44,24,14,33,12,6,121,202,135,228,10,29
g16005,17,14,0,1,2,1,85,96,60,51,15,10
g16006,75,67,2,3,17,16,106,132,78,68,49,95
g16011,359,341,394,298,2690,2906,2441,2000,2889,2921,904,1807
g16012,151,153,51,82,89,78,75,83,93,82,14,69
g16013,416,252,281,326,445,291,519,769,465,527,133,483
g16014,19,12,67,81,73,66,530,589,453,431,89,246
g16015,69,57,63,92,179,198,302,408,264,280,72,175
g16016,41,18,7,5,876,490,483,224,748,1283,339,877
g16017,54,69,16,10,925,494,288,117,504,882,198,525
g16018,410,408,76,90,74,57,39,50,34,43,13,34
g16019,54,30,20,30,32,28,10,9,10,13,1,9
g16020,817,892,302,263,205,172,326,550,429,721,247,349
g16021,264,262,185,192,165,129,334,414,285,357,105,165
g16022,28,26,9,27,11,20,29,34,38,37,8,16
g16023,43,50,6,15,19,20,64,109,67,71,24,26
g16024,0,1,0,0,0,0,2,2,0,2,0,1
g16025,37,58,6,12,10,6,4,6,7,5,3,8
g16026,70,89,40,31,94,97,55,76,88,117,23,92
g16028,80,43,11,9,1153,690,353,174,889,1728,261,695
g16029,485,479,100,96,138,90,76,102,60,82,20,71
g16030,606,424,304,200,187,168,71,127,117,180,66,91
g16031,267,265,199,189,172,135,208,218,166,188,53,109
g16032,22,31,20,15,15,12,109,160,117,120,35,51
g16033,74,78,14,21,39,35,143,180,117,165,30,72
g16034,510,510,336,318,220,137,738,1863,764,934,196,350
g16035,18417,20199,4000,4738,5687,6012,2821,2262,3868,3717,1098,2581
g16036,1462,1369,920,837,2652,2952,1013,1223,1511,1979,437,1548
g16037,643,450,956,795,1897,2278,1154,1629,1886,2836,404,810
g16038,3385,3291,31288,35725,36409,29600,12348,15623,18124,23568,4319,9079
g16039,21,11,30,32,84,71,70,127,99,139,15,33
g16040,24,20,109,115,188,181,98,117,73,83,37,60
g16054,0,0,1,0,0,0,0,0,1,0,0,0
g16095,41,26,0,4,11,12,0,0,0,0,0,0
g16110,278,271,927,810,881,786,333,438,274,337,143,344
g16111,67,73,143,113,103,95,286,270,255,246,78,140
g16112,3923,3793,1762,1560,598,472,1039,1919,1168,2063,219,438
g16113,222,199,11,18,56,35,442,571,221,184,107,209
g16114,44,32,14,34,78,80,286,419,169,114,79,140
g16115,128,133,398,422,490,399,886,985,809,806,204,519
g16116,41176,36412,33120,33569,36042,38921,66523,57142,54259,46660,14233,27248
g16117,357,568,13,38,55,43,111,149,45,107,35,42
g16118,569,455,571,620,1006,885,733,1108,906,1238,443,879
g16125,188,83,54,61,130,76,149,250,119,108,39,94
g16126,1060,898,312,293,905,1015,1618,2533,1502,1809,603,1041
g16127,864,940,158,180,707,840,781,935,847,889,398,956
g16128,5,1,0,0,20,45,6,18,18,22,8,19
g16129,3222,2294,13034,12931,8675,7805,17126,32148,13312,16752,3906,8958
g16130,76,53,136,83,319,128,0,0,0,0,0,0
g16131,49,33,0,2,9,17,42,133,17,84,7,14
g16132,651,547,220,324,503,394,397,1102,305,562,92,305
g16133,478,479,225,230,94,67,460,688,320,354,131,211
g16134,67293,62679,92299,99630,92196,124678,57558,50813,64508,67163,14749,28410
g16135,811,730,1830,2823,2115,1758,2415,2720,2355,2350,556,1645
g16136,1888,1904,4274,3318,1887,1857,1787,2066,2121,2222,231,568
g16137,43,53,86,92,30,24,490,683,295,302,74,178
g16138,265,243,139,143,56,62,240,291,240,336,52,109
g16139,314,297,150,146,62,84,133,154,109,127,47,73
g16140,241,167,96,147,117,105,199,164,164,171,72,136
g16141,29,29,39,35,55,63,221,342,295,306,85,136
g16142,169,218,38,41,76,54,222,248,230,230,45,125
g16143,74,54,0,0,6,0,132,276,170,182,73,110
g16144,13,11,0,1,2,0,2,16,6,9,3,6
g16145,12,19,0,2,1,1,5,10,3,13,2,1
g16146,1004,774,471,490,592,502,1024,1883,1145,1270,389,746
g16147,24,9,0,0,3,3,19,49,20,11,8,12
g16148,0,4,0,0,0,0,514,749,256,310,138,126
g16180,2,1,0,0,0,0,0,0,0,0,0,0
g16183,2,6,1,4,1,1,11,5,3,5,2,3
g16184,282,250,144,141,73,84,187,213,144,166,50,64
g16185,224,163,85,123,132,70,153,111,129,113,44,95
g16186,41,25,40,40,46,51,213,303,235,317,74,144
g16187,117,142,29,37,26,26,303,287,300,240,68,150
g16188,70,46,0,4,6,4,132,271,125,137,72,101
g16189,72,29,0,4,6,4,6,24,9,10,2,1
g16190,15,15,0,0,1,0,4,11,5,3,3,5
g16191,1017,749,456,543,584,523,559,1029,517,769,228,377
g16192,31,13,0,2,1,3,7,25,6,3,1,10
g16197,0,0,0,0,1,0,0,0,0,0,0,0
g16209,20,17,0,4,23,10,27,51,22,40,12,21
g16210,30,68,56,50,123,132,87,180,82,117,24,61
g16211,55,64,98,131,134,148,134,209,107,152,41,84
g16212,8,8,41,34,62,67,90,136,69,103,26,78
g16214,18,25,79,86,47,74,3,2,2,1,0,1
g16215,42,32,1,3,25,17,44,76,38,59,23,30
g16216,58,105,59,65,134,137,110,232,124,172,42,84
g16217,116,93,240,219,413,434,739,1173,681,838,245,517
g16218,266,225,269,336,207,157,2072,3217,1320,1124,408,784
g16219,30727,34516,24791,31218,62581,68694,99000,98440,92789,98619,31477,66154
g16220,511,490,109,81,78,58,155,199,148,133,42,114
g16221,16,23,0,2,2,2,11,23,5,17,6,10
g16228,869,867,161,141,119,97,159,167,116,132,32,65
g16229,39,28,1,2,3,6,7,20,12,11,4,11
g16230,139,124,283,146,33,24,94,267,300,547,123,93
g16231,10,8,116,120,65,58,241,162,206,188,36,89
g16232,72,30,25,56,106,92,184,235,181,241,49,130
g16233,6,8,1,0,8,2,28,40,26,24,15,13
g16234,2130,1936,173,259,389,398,221,300,222,206,65,153
g16235,61,91,4,11,13,15,21,47,10,21,4,4
g16236,20,17,10,6,26,19,105,129,134,212,18,49
g16237,11,4,0,4,143,66,19,41,50,37,42,498
g16238,488,308,10,10,4,10,95,140,108,121,18,37
g16239,743,681,2,2,1,3,37,50,25,17,30,29
g16241,350,264,17,8,55,46,210,173,157,120,77,72
g16242,248,225,98,147,323,216,636,965,639,744,178,375
g16243,2649,2332,4483,6357,4417,3017,4298,4875,4157,4633,1103,2590
g16244,372,196,17,63,177,126,113,232,102,59,36,59
g16245,985,892,557,562,538,336,546,898,484,593,161,323
g16246,182,205,108,122,1538,857,2181,2008,1739,1068,367,753
g16247,862,903,637,611,2061,1792,1155,1529,1582,2156,319,580
g16248,617,495,162,199,459,430,594,833,690,716,199,331
g16249,18,10,8,8,25,14,141,193,100,77,39,52
g16254,149,172,406,416,617,606,571,648,523,492,162,328
g16255,5396,5052,3285,3321,1189,835,2547,4187,2950,3597,705,1471
g16256,819,677,291,297,583,422,1044,1116,881,911,446,787
g16257,144,118,227,315,320,303,678,887,596,626,174,307
g16258,47,53,39,104,77,61,30,76,23,39,7,9
g16259,150,163,219,189,136,138,326,566,257,333,93,173
g16260,234,197,283,276,117,87,399,798,311,381,103,157
g16261,969,968,280,305,183,102,467,730,395,518,120,234
g16262,301,360,254,414,118,70,830,1314,905,1539,651,812
g16263,13,7,5,15,12,5,46,77,37,53,8,35
g16265,688,442,102,225,418,404,526,1016,449,522,139,318
g16266,72,77,252,285,263,203,1109,871,747,715,142,412
g16267,697,818,617,947,2420,2169,1965,2684,1591,1367,409,975
g16268,489,589,269,518,489,412,1459,1606,1054,964,390,909
g16269,363,441,176,197,203,223,2,0,0,1,0,1
g16270,143,103,192,196,132,78,0,0,0,0,0,0
g16271,826,896,383,310,681,702,553,557,426,559,107,318
g16272,385,375,948,787,607,567,1195,1422,1069,1121,230,433
g16273,179,129,81,163,243,259,514,810,395,462,138,254
g16274,30,43,148,89,920,740,391,559,284,492,111,271
g16275,55,46,66,97,77,54,132,141,106,106,33,76
g16276,245,258,55,67,205,121,522,545,982,777,62,207
g16277,61,111,255,325,620,405,290,422,402,769,37,109
g16278,1276,1299,12,21,13,13,114,272,99,114,27,38
g16282,474,406,522,425,621,654,1227,1588,1184,1635,241,462
g16283,130,145,438,370,298,339,546,746,1741,2656,211,372
g16284,180,174,12,29,21,20,130,209,507,1102,147,159
g16285,270,270,178,162,188,129,413,569,452,458,112,213
g16286,550,463,404,523,864,705,1143,1563,1080,1195,395,1084
g16287,981,862,380,366,753,635,355,468,312,606,237,194
g16288,123,125,96,145,271,173,309,404,234,225,71,195
g16293,0,0,0,0,1,0,1,0,0,1,2,0
g16308,0,0,2,0,0,0,0,1,0,0,0,0
g16313,0,0,0,1,0,1,13,33,13,7,10,20
g16318,158,81,37,71,84,56,65,88,37,32,13,27
g16319,756,662,808,626,1706,1431,1708,2196,1658,1588,496,1595
g16320,396,450,180,242,1069,576,2074,978,2164,1214,407,1273
g16321,24,23,2,7,18,11,2,0,0,0,0,0
g16322,294,190,155,210,332,261,231,445,243,270,81,232
g16323,106,82,58,87,120,121,171,211,94,93,57,115
g16324,177,168,96,105,120,140,188,299,234,380,63,113
g16325,460,308,332,325,419,367,1146,1276,1265,1369,367,687
g16326,413,470,221,281,1856,1971,1912,1936,2699,2399,509,1160
g16327,324,365,97,134,349,339,345,463,282,347,108,282
g16328,1345,861,2277,2567,9886,11221,5913,7732,6642,8067,5758,21343
g16329,153,113,288,301,395,296,668,721,519,478,160,468
g16330,17,10,43,21,21,15,33,14,13,4,2,10
g16331,24,34,16,54,53,46,268,209,230,124,44,133
g16332,1551,1234,750,719,1080,951,1097,1317,1058,1132,348,869
g16333,9092,10258,3391,3414,3759,3218,3444,4384,3998,5011,717,1356
g16334,20,26,1,1,10,7,20,48,17,20,6,5
g16335,218,181,30,46,95,83,152,225,121,140,33,100
g16336,1037,927,706,768,1256,1063,1075,1722,854,932,272,663
g16337,1131,613,1296,997,1095,874,878,600,1109,887,257,945
g16338,14,12,4,4,35,42,61,56,41,34,18,39
g16339,832,715,1746,1574,1323,908,3180,3250,2511,2173,566,1296
g16340,5639,9603,135,235,537,262,217,270,249,239,87,199
g16341,46,49,0,1,0,1,1,1,3,0,1,1
g16342,54,12,2,1,40,74,11,15,59,82,10,22
g16343,901,388,1328,807,13695,16013,1673,1079,6353,6270,1210,3267
g16344,1,1,0,0,0,2,1,4,4,2,0,2
g16345,208,138,685,867,1183,959,1466,2809,1165,1232,437,990
g16346,349,215,196,213,212,151,382,549,335,456,113,206
g16347,977,654,79,136,234,187,126,272,232,379,112,83
g16348,14,5,11,19,21,18,0,0,0,0,0,0
g16349,116,41,63,141,82,57,88,106,64,72,16,25
g16350,46,49,29,44,29,11,105,214,104,102,9,13
g16351,47,20,108,115,151,95,550,543,416,365,88,198
g16352,552,513,551,511,114,51,624,1160,715,950,77,134
g16353,26,21,50,75,18,8,88,123,123,101,7,34
g16354,172,258,53,72,13,8,366,330,317,227,24,32
g16355,45,41,22,28,93,96,122,109,76,56,27,33
g16356,15,12,7,23,34,23,125,132,77,61,10,34
g16357,459,423,2484,2653,3260,2537,4671,6754,3986,4788,1262,2875
g16358,69,53,24,50,101,53,100,136,111,61,16,33
g16362,23,17,7,5,14,9,125,178,122,73,13,36
g16363,35,34,0,0,1,2,24,43,8,7,4,4
g16364,9,17,0,0,0,0,3,8,0,2,0,3
g16365,205,180,29,79,74,42,205,293,148,204,45,96
g16366,141,184,26,36,309,228,452,416,327,256,54,155
g16367,57,56,4,6,37,23,248,301,122,103,26,20
g16368,89,74,77,89,129,120,513,621,380,422,101,220
g16372,13,2,0,1,0,0,0,0,0,2,0,0
g16373,98,73,38,64,206,113,884,1074,667,642,183,441
g16374,180,154,65,86,159,150,433,490,317,290,73,192
g16375,397,334,144,156,294,354,175,361,184,240,45,136
g16376,1,4,1,4,3,2,63,80,48,86,34,68
g16377,18,12,0,4,2,5,87,176,56,53,29,77
g16378,0,0,0,1,3,1,1302,1815,1126,1339,286,579
g16379,58,31,1,1,3,0,119,166,72,42,13,51
g16380,89,39,1,0,2,4,98,257,61,47,46,53
g16381,181,115,89,105,40,36,216,278,208,211,31,64
g16382,15,4,0,2,1,0,7,25,1,4,1,2
g16383,450,346,240,299,555,603,370,548,328,340,105,320
g16384,75,59,32,49,65,60,257,316,213,210,47,143
g16385,88,74,25,36,27,27,356,315,255,236,66,88
g16386,194,134,58,71,303,239,1233,1505,1149,1214,426,881
g16387,112,122,7,15,53,29,116,252,62,43,18,47
g16388,141,120,49,80,147,67,270,308,125,140,66,329
g16389,394,401,533,588,263,181,405,645,328,397,76,175
g16390,2,4,0,0,0,1,0,3,3,1,0,0
g16391,106,82,0,4,8,2,152,181,89,85,24,62
g16398,683,821,156,249,224,194,888,950,886,1443,633,1260
g16399,147,93,102,98,457,332,547,516,468,585,186,311
g16400,29,17,5,5,13,13,76,104,84,110,10,28
g16401,89,40,60,83,381,302,432,729,404,546,142,332
g16402,17,6,12,19,31,15,143,179,176,187,42,56
g16403,212,194,53,78,73,41,564,681,337,341,112,174
g16404,0,0,0,0,6,0,236,155,101,68,127,265
g16408,0,0,1,0,2,0,167,160,64,35,98,221
g16411,127,71,49,65,39,25,234,264,130,271,15,30
g16414,2,2,0,0,0,0,16,14,30,24,3,5
g16416,3,1,0,0,1,1,5,14,15,6,5,3
g16417,270,229,467,559,1708,2252,926,1165,884,1029,296,768
g16418,289,238,101,159,120,100,349,491,213,227,75,160
g16419,315,231,13,41,71,36,55,157,161,212,38,63
g16420,17,7,1,1,6,10,13,22,16,9,6,4
g16421,53,15,45,67,502,536,374,250,266,320,39,84
g16422,111,126,45,44,48,37,208,288,168,165,48,61
g16423,27,11,158,169,158,166,302,238,220,173,68,84
g16424,15298,15892,4289,3282,9222,11523,3639,4597,6794,8529,3125,8183
g16425,229,182,53,61,137,136,183,277,250,241,49,137
g16426,725,359,4929,5607,3895,2319,4329,4509,2199,2565,793,1256
g16427,938,701,2960,2633,2829,2440,2180,3152,1994,2345,392,1019
g16428,275,399,178,169,347,326,318,333,334,354,56,244
g16429,263,324,3821,968,1510,1688,69,249,3853,6790,120,344
g16430,1,1,1,4,3,6,4,22,14,26,6,15
g16431,257,331,3984,980,1480,1815,62,256,3979,7106,116,392
g16432,3,4,4,1,7,6,26,59,45,64,8,35
g16433,0,1,0,0,0,0,6,32,1,3,2,7
g16435,6,3,0,0,1,0,19,28,10,10,2,13
g16436,155,107,459,451,406,315,1128,2123,1153,1493,289,484
g16437,1107,698,2551,1778,1004,937,4064,7631,4743,7772,1290,2120
g16438,7,8,0,0,0,0,24,51,4,9,4,3
g16439,91,61,1,1,2,2,40,103,29,28,8,17
g16440,283,258,11,16,27,18,59,100,32,25,14,23
g16441,127,85,57,74,100,88,274,402,192,202,72,183
g16442,155,169,194,229,220,163,350,514,256,332,97,179
g16443,493,650,107,117,123,110,175,182,167,194,66,129
g16445,6738,6049,1759,2361,716,487,1949,4024,1088,1995,399,623
g16446,51,43,84,72,416,478,861,608,904,692,191,418
g16447,27,16,25,59,39,27,334,312,255,377,63,174
g16448,4056,6325,241,239,644,648,710,777,1085,1509,257,673
g16449,12,12,4,7,24,38,28,35,22,14,10,18
g16450,148,171,150,172,149,123,391,609,296,357,96,230
g16451,90,54,10,12,23,15,114,221,92,69,39,105
g16452,95,68,100,111,164,172,530,709,597,641,107,339
g16453,18,12,6,6,8,13,70,61,51,39,15,34
g16454,2399,3856,174,147,413,385,393,347,591,618,143,419
g16455,9,12,5,6,26,38,26,36,11,18,10,10
g16456,145,142,130,150,136,123,348,521,259,279,89,195
g16457,57,62,3,4,9,5,45,76,26,36,14,31
g16458,46,41,32,59,41,58,296,386,303,343,68,166
g16459,152,129,47,50,95,78,197,195,126,164,73,110
g16460,691,623,131,126,157,168,232,408,191,214,52,95
g16462,293,278,81,84,84,78,142,186,62,81,25,47
g16463,75,50,30,27,41,32,297,239,196,187,62,81
g16464,121,153,42,42,77,75,264,288,237,193,52,76
g16465,29,23,31,54,42,58,72,71,75,64,11,24
g16466,32,30,1303,1077,3155,2354,1152,1276,1066,2199,48,71
g16467,199,141,206,211,398,314,286,376,250,305,89,162
g16468,138,144,187,183,189,206,609,706,438,415,164,273
g16470,22,14,47,39,81,68,191,239,323,423,40,97
g16471,118,97,153,81,233,277,276,426,411,701,30,63
g16472,80,78,95,29,532,582,75,103,177,289,3,7
g16473,225,248,135,63,100,106,265,393,177,262,62,89
g16474,90,80,33,35,58,40,261,348,206,190,60,150
g16475,73,76,29,24,78,72,171,222,141,115,32,66
g16476,429,266,42,45,36,33,170,204,148,153,34,78
g16477,593,491,96,182,217,153,380,553,332,419,140,368
g16478,202,153,36,70,153,84,1118,684,1329,2555,491,688
g16479,14,14,0,1,61,18,43,30,91,93,17,29
g16480,431,464,0,2,22,27,281,471,243,262,59,93
g16481,1,2,0,5,15,39,32,45,29,38,10,25
g16482,5,2,0,0,7,7,5,6,9,6,1,1
g16483,0,0,0,0,0,1,14,20,5,5,3,0
g16484,130,132,32,45,63,66,71,166,137,170,21,45
g16485,209,154,144,103,111,87,188,309,235,352,65,117
g16486,1280,1262,2302,2210,832,797,1202,2375,2405,3460,226,406
g16487,144,155,418,405,516,329,1300,1759,1031,1325,231,665
g16488,319,256,901,588,393,318,752,942,705,996,183,344
g16489,120,99,189,172,106,64,138,213,149,152,15,39
g16490,546,555,686,573,340,271,1222,1392,746,868,194,389
g16491,33,31,18,38,62,69,39,32,29,41,9,28
g16492,129,100,96,153,342,329,2281,3074,2068,1809,709,1600
g16493,594,541,456,408,571,603,404,548,341,451,150,331
g16494,79,26,2,1,255,176,73,90,49,42,19,79
g16495,0,1,0,1,0,0,16,4,9,3,0,7
g16496,171,95,888,1327,872,680,3851,5059,2933,2839,772,1573
g16497,19,4,102,78,30,13,137,531,114,188,125,137
g16498,95,18,1044,645,392,117,394,1552,318,425,349,389
g16499,21,16,17,32,118,20,95,348,116,179,103,109
g16500,1874,2032,582,575,962,938,803,1475,718,1113,335,663
g16501,3463,3701,1267,1158,330,187,1475,2588,1416,2288,384,696
g16502,663,611,350,367,136,126,485,785,377,528,112,163
g16503,358,272,163,157,103,76,417,767,318,408,79,173
g16504,110,117,135,152,178,143,82,94,87,70,16,43
g16505,1762,1454,1236,1037,2016,1762,1738,2264,1708,2264,633,1112
g16506,653,810,71,119,345,343,497,818,330,175,71,205
g16507,481,478,280,261,339,287,906,986,662,695,148,380
g16508,77,103,1,6,15,27,83,107,48,30,34,63
g16511,30,26,1,4,9,1,48,120,15,21,20,30
g16512,95,111,47,49,145,173,432,579,401,369,132,227
g16513,63,98,10,35,69,54,195,191,122,115,44,82
g16514,59,57,25,25,8,1,225,271,181,158,15,47
g16515,5914,4857,355,264,916,612,352,428,487,463,135,335
g16516,43,53,25,32,19,14,405,554,281,319,106,131
g16517,18,16,1,1,5,9,9,19,2,6,2,6
g16518,310,83,1,3,11,11,4,9,2,0,0,1
g16519,23,21,0,0,4,9,7,2,4,1,0,3
g16520,376,381,290,208,1098,1212,223,285,207,177,87,277
g16521,501,386,13,16,50,54,50,172,27,26,150,237
g16527,569,790,145,209,87,47,411,224,591,397,65,97
g16528,1103,1276,170,232,173,98,435,635,387,490,112,261
g16529,380,318,71,127,89,66,244,486,215,293,60,119
g16530,76,50,1908,655,826,527,123,39,671,1258,7,14
g16531,8,14,446,129,263,143,20,8,72,130,2,2
g16538,34,32,1270,296,1052,508,253,88,1138,2149,13,46
g16540,163,190,87,104,36,34,545,548,385,431,157,235
g16541,2,1,0,0,2,1,14,53,18,15,6,14
g16542,420,184,4,9,13,4,1523,2515,398,451,368,808
