,zoospore-A,zoospore-B,germinating cyst-A,germinating cyst-B,mycelia_48h-A,mycelia_48h-B,mycelia_96h-A,mycelia_96h-B,Early infection-A,Early infection-B,Late infection-A,Late infection-B
g25765,24,30,25,22,39,17,31,50,41,53,9,20
g25766,0,0,0,1,0,0,0,0,0,0,0,0
g25790,81,85,69,52,25,16,117,138,122,120,18,42
g25791,129,96,99,75,86,96,100,137,114,124,24,58
g25792,112,77,23,20,46,46,191,207,220,194,98,168
g25793,569,444,153,144,352,400,296,218,262,323,141,202
g25794,268,75,2,5,17,28,446,378,158,129,65,112
g25795,23,6,0,0,0,0,58,62,42,45,15,21
g25796,553,268,1,0,9,2,904,1288,687,647,582,994
g25797,445,407,26,46,189,200,121,176,120,140,107,197
g25798,68,48,89,121,119,62,235,229,157,170,66,168
g25799,20,27,0,0,0,0,1,7,2,0,4,7
g25800,231,119,0,3,16,17,53,66,25,45,27,87
g25801,98,74,800,868,953,855,1173,1750,1039,1102,248,525
g25802,3723,4144,5698,7259,4439,4996,7548,5970,8233,7488,1487,2922
g25803,20,26,15,18,19,20,104,107,87,83,29,53
g25820,358,254,937,839,1003,823,709,839,772,1390,116,333
g25821,174,166,22,42,126,124,91,128,92,111,17,28
g25822,1501,1159,486,501,937,778,319,876,1361,2140,410,640
g25823,431,264,333,345,729,584,252,406,199,231,88,194
g25824,9,7,48,45,140,121,55,80,42,42,15,41
g25825,317,185,176,282,379,306,209,314,136,210,82,160
g25826,67,72,10,22,69,44,367,560,198,221,73,128
g25827,872,764,569,492,675,724,639,854,622,822,170,366
g25828,138,32,11,20,34,19,74,126,59,58,13,59
g25829,530,399,0,0,1,0,7,15,7,19,1,7
g25830,311,235,89,115,84,80,233,261,194,154,64,119
g25831,30,15,3,1,2,0,11,32,15,23,6,15
g25833,11,5,0,1,1,3,2,24,8,31,2,1
g25834,262,302,8,9,28,37,78,245,139,234,176,178
g25835,8399,7521,1367,1639,2453,2451,5679,9100,5030,5983,3147,4585
g25836,1670,992,3025,2900,6481,6412,6372,1997,6756,9896,1151,1224
g25837,4,2,31,19,56,58,209,173,165,237,63,66
g25838,10,3,10,14,42,35,95,73,87,115,25,48
g25839,62,76,67,75,226,182,182,265,120,155,72,119
g25840,83,70,12,8,45,22,28,62,17,23,9,26
g25841,649,632,150,227,254,203,355,690,233,338,117,208
g25842,1185,493,262,445,1763,2625,861,510,738,721,445,1013
g25843,286,218,121,131,1018,562,1696,2182,1576,1294,472,1061
g25844,379,214,204,181,497,554,358,448,280,432,82,179
g25845,136,147,40,36,638,480,495,389,407,337,106,234
g25846,0,1,1,4,2,6,5,5,5,6,0,4
g25847,715,514,4943,6293,4356,2409,1813,2196,3089,3162,512,915
g25848,943,933,1672,1868,731,552,2222,2695,1472,1248,201,470
g25849,34,45,2,8,18,10,69,126,43,25,8,28
g25850,485,358,45,70,101,56,496,765,269,240,81,159
g25851,381,354,520,572,557,497,771,1061,706,491,136,324
g25852,199,143,90,108,93,93,180,250,131,149,33,80
g25853,245,168,238,237,172,183,241,351,228,245,81,102
g25862,6,7,4,1,8,11,1,2,1,3,0,0
g25863,2,8,0,0,2,10,1,3,0,0,0,0
g25864,2,1,1,0,2,2,0,0,0,0,0,0
g25865,6,2,1,0,2,1,0,2,3,1,0,0
g25866,0,3,2,0,0,1,25,7,9,3,1,2
g25870,16,5,2,2,9,13,0,1,0,0,0,0
g25871,8,7,2,0,4,9,1,2,2,4,2,2
g25880,9,6,1,6,4,5,12,28,15,13,5,7
g25881,35,25,9,12,18,16,4,9,5,6,3,7
g25886,14,13,4,0,12,12,0,1,0,1,0,0
g25887,12,8,3,1,14,22,1,1,1,4,2,1
g25888,30,21,5,5,13,6,1,6,1,7,2,8
g25889,482,279,268,271,226,164,297,304,290,299,88,159
g25890,126,101,58,78,106,87,124,188,109,134,33,90
g25891,9509,10268,140,203,267,210,105,114,193,200,62,298
g25892,122,135,1,1,0,1,8,21,5,8,1,3
g25893,64,21,3,0,3,5,47,82,32,52,8,14
g25894,111,63,0,3,0,0,20,53,6,5,3,11
g25895,19,11,0,1,1,0,12,8,5,3,1,1
g25896,288,152,2,8,91,50,207,423,92,45,139,260
g25897,238,106,161,172,392,275,398,605,382,334,120,261
g25898,71,53,7,16,42,32,19,27,19,11,3,10
g25899,118,89,94,145,143,117,223,287,188,188,29,99
g25900,393,344,317,316,609,544,974,1285,757,830,219,483
g25901,1037,877,10,30,48,57,391,693,228,247,157,264
g25902,817,564,496,773,442,267,2764,4820,2020,3050,925,1475
g25903,31,21,3,8,23,15,63,66,33,18,6,28
g25904,15,6,4,5,20,15,98,160,81,96,32,66
g25905,512,411,258,249,191,148,247,451,252,301,92,245
g25906,25,31,4,8,4,0,1,2,2,4,0,1
g25907,954,842,275,313,414,380,248,540,183,221,76,136
g25908,5,2,0,4,3,3,2,11,4,3,5,8
g25909,21,15,102,130,259,279,1066,1411,864,829,121,294
g25910,5283,2357,6966,6935,6637,6888,4183,6987,5595,7378,3023,7409
