,TPM_trimed_0h,TPM_trimed_16h,TPM_trimed_48h,TPM_control,TPM_Early,TPM_Late
g17698,0.315405943,2.486944048,0.750376065,4.441451832,6.202929461,6.983722315
g17699,1.214567088,5.577269412,1.418005343,1.503713621,3.009406307,3.51932472
g17700,0.018197823,0,0.017207581,0.482752189,1.094355661,0.441686099
g17702,3.334888832,3.371639161,2.83890793,4.524212268,3.41755135,3.26554685
g17703,136.4801452,2.700942663,12.54565064,22.10746408,13.75028664,100.5877581
g17704,3.95753786,12.7760551,5.497694269,15.1849954,9.751984574,10.03042771
g17705,4.55114487,16.78375616,26.84213082,63.08996022,44.38971381,55.37219832
g17706,1.04872453,1.215672191,4.438279507,1.760605289,1.302179763,1.726319639
g17707,10.23952541,5.93393,7.622518227,18.37064054,14.95912236,11.22112808
g17708,10.32119845,8.346330265,15.78929945,16.8298339,24.51402499,8.644365925
g17709,25.15620186,0.448118354,0.516175965,3.248826988,2.226480696,3.862154518
g17710,20.51194869,3.029607428,2.904704934,17.83803662,12.58423543,15.08817686
g17711,8.954473484,7.204610842,4.31314754,9.925331,7.27305667,9.782064741
g17712,0.279272325,0.010820756,0.019413712,0.782604644,0.359747584,0.376858768
g17713,0.711419509,0,0,0.127294173,0.044067087,0
g17714,1.092721647,3.627089855,2.730299208,9.535712791,7.422415124,7.55814992
g17715,0.993978389,0.441821489,0.533739992,0.804311245,0.368354739,0.233470615
g17716,15.61721967,0.42941155,0.229258297,1.79494372,4.815752226,4.427648161
g17717,18.58577235,6.941433525,9.510455606,21.34777205,18.8854046,25.24758196
g17718,1.117709737,0.273384758,0.642331999,1.216798114,0.74312228,2.866675011
g17719,87.07341943,40.26389389,29.29278036,38.61198067,32.74389432,105.1168184
g17720,17.53829793,12.27971581,9.154626989,11.25508863,9.310567158,13.59543297
g17721,4.00927661,6.144931811,3.945012112,15.96434451,11.32515171,12.31498889
g17722,0.458285142,0.396483863,0.649167513,5.838374991,3.779062352,3.183913589
g17723,0.432353726,0,2.172392472,21.1170738,14.60190916,29.0337704
g17724,3.376105226,2.658123227,1.753330288,18.51028407,9.722991548,22.71303768
g17725,2.602329024,3.606075047,2.145492428,4.90029085,3.028745859,9.646988494
g17726,1.149641013,0.838358329,0.136980334,1.222659814,1.319377897,1.011261294
g17727,0.043997812,0,0.028052239,0.590595024,0.751354276,0.230155971
g17728,0.206545286,0,0,0.363565188,1.275018356,0
g17729,5.468729043,4.285946707,3.097622584,1.454855948,4.598185587,2.188079344
g17730,0.361179488,0.198818352,0.480689923,0.158520782,0.344121247,0.0647702
g17731,4.232486704,0.200198011,0.444237102,1.275069781,0.677104929,1.204886472
g17732,20.01465284,12.09152213,24.34623614,10.68005728,11.72285032,13.6862873
g17733,5.36595629,4.070798092,2.850053225,10.40639317,5.942840698,10.33872491
g17734,8.303728855,5.886692105,5.562099325,11.90607942,9.412366081,10.50589246
g17735,127.3025179,96.23965586,172.7176243,168.7541592,191.200034,251.3793875
g17736,262.4105484,170.985604,263.7234799,624.6946068,610.8023961,550.6329094
g17737,21.23886178,0.349562515,6.239242047,41.08488523,10.47308744,18.499843
g17738,23.07677446,4.257281067,31.09888707,17.30015039,19.20547491,36.50280022
g17739,32.74636182,0.481522318,0.487244113,14.89445939,4.756182351,6.810878043
g17740,1.949594041,0,0.063083049,1.213588776,0.094628272,0.186502524
g17741,16.10920665,50.52242357,25.54692626,86.7492828,65.516605,91.32275975
g17742,162.0619167,209.0095155,63.98929702,103.7580468,89.05839065,82.82314022
g17743,1.363864144,11.47498461,9.619944911,12.79848711,9.745980122,7.693598048
g17744,1.694987964,2.067994863,2.298591077,9.17209431,4.525871583,5.979998692
g17745,15.95764715,4.217307594,23.57192041,53.21492323,40.79204215,75.38286482
g17746,10.82879455,14.53863416,15.42201241,98.79582678,48.56312147,65.51790796
g17747,1.263292156,1.896702521,0.860803576,8.878659872,5.955951188,9.538319223
g17748,6.492750012,4.567522777,9.192650561,56.85788203,18.91277538,22.53011472
g17749,0.939554969,0.04154762,0.242469547,0.822223245,0.605280813,0.806422065
g17750,8.531193864,2.643272742,3.061878422,8.855183523,6.282924233,8.207042449
g17751,4.055863514,0.721624673,1.187013974,2.724372968,0.904246909,1.482224995
g17752,0.770157919,1.064712764,1.694855094,3.674185411,1.81401249,4.254722784
g17753,0.758256095,0.216086453,1.276944745,1.375974226,1.14167949,1.364397344
g17754,0.050876305,0.10542744,0.235015279,0.635409588,0.62621106,0.693597612
g17755,2.091804638,1.785627677,1.96472992,8.396788518,4.656008773,5.542202267
g17756,15.44040205,4.664803184,20.87429669,54.30300625,39.7617688,72.38851303
g17757,6.390532666,9.027521912,9.720930367,75.0273261,36.83210488,52.17730249
g17758,1.034079733,2.175271803,1.216182727,8.578245744,5.601271567,7.672041471
g17759,6.636546399,5.754912559,8.665610451,60.0031305,19.72459474,21.39037634
g17760,0.472865012,0.025957059,0.139710072,0.702973272,0.562376418,0.729769198
g17761,44.79762766,2.203411369,8.690744857,10.91644419,9.36539818,12.99844058
g17762,2.842679193,3.202909691,1.923108382,9.773775102,6.910228918,8.699940188
g17763,6.841598159,1.79439604,2.107369061,4.922778449,1.720933926,2.918252515
g17764,1.325160287,1.589002746,2.63267126,4.70909989,2.406726211,5.671476262
g17765,0.499018445,0.186291051,1.057909924,1.589594063,0.547761697,1.818552624
g17766,96.19451387,72.05654621,15.74090007,49.32343351,48.47391186,30.37965334
g17767,21.20724711,46.95141851,39.86851014,41.14600214,38.35108382,36.8567006
g17768,31.59745848,6.492488036,14.64977024,11.83435383,13.26832629,19.21739077
g17769,162.5849648,60.34795883,121.958364,34.42674032,47.95352499,63.75705487
g17770,2.931705054,0.190498002,0.401614962,1.655517169,0.971900451,2.723339962
g17771,37.99087444,3.612495088,11.34327496,43.47966641,22.97089656,38.21409198
g17772,5.157302611,91.37040391,54.8731686,40.20391708,84.59974064,11.82400614
g17773,41.87138983,26.74958242,4.474971243,36.50614391,22.99854729,12.53213636
g17774,121.4674837,26.3770029,19.11212062,25.03552298,22.63174665,24.10650955
