Term	TERM	ONTOLOGY	gene_count	GO_Label
GO:0044281	small molecule metabolic process	BP	24	GO:0044281 – small molecule metabolic process (BP)
GO:0005829	cytosol	CC	23	GO:0005829 – cytosol (CC)
GO:0018130	heterocycle biosynthetic process	BP	23	GO:0018130 – heterocycle biosynthetic process (BP)
GO:0019438	aromatic compound biosynthetic process	BP	23	GO:0019438 – aromatic compound biosynthetic process (BP)
GO:0034654	nucleobase-containing compound biosynthetic process	BP	23	GO:0034654 – nucleobase-containing compound biosynthetic process (BP)
GO:1901362	organic cyclic compound biosynthetic process	BP	23	GO:1901362 – organic cyclic compound biosynthetic process (BP)
GO:1902494	catalytic complex	CC	23	GO:1902494 – catalytic complex (CC)
GO:0005739	mitochondrion	CC	22	GO:0005739 – mitochondrion (CC)
GO:0012505	endomembrane system	CC	22	GO:0012505 – endomembrane system (CC)
GO:0019222	regulation of metabolic process	BP	22	GO:0019222 – regulation of metabolic process (BP)
GO:0031323	regulation of cellular metabolic process	BP	22	GO:0031323 – regulation of cellular metabolic process (BP)
GO:0043412	macromolecule modification	BP	22	GO:0043412 – macromolecule modification (BP)
GO:0051171	regulation of nitrogen compound metabolic process	BP	22	GO:0051171 – regulation of nitrogen compound metabolic process (BP)
GO:0071702	organic substance transport	BP	22	GO:0071702 – organic substance transport (BP)
GO:0080090	regulation of primary metabolic process	BP	22	GO:0080090 – regulation of primary metabolic process (BP)
GO:1901575	organic substance catabolic process	BP	22	GO:1901575 – organic substance catabolic process (BP)
GO:0006793	phosphorus metabolic process	BP	21	GO:0006793 – phosphorus metabolic process (BP)
GO:0006796	phosphate-containing compound metabolic process	BP	21	GO:0006796 – phosphate-containing compound metabolic process (BP)
GO:0031090	organelle membrane	CC	21	GO:0031090 – organelle membrane (CC)
GO:0044248	cellular catabolic process	BP	21	GO:0044248 – cellular catabolic process (BP)
GO:0140513	nuclear protein-containing complex	CC	21	GO:0140513 – nuclear protein-containing complex (CC)
GO:0060255	regulation of macromolecule metabolic process	BP	20	GO:0060255 – regulation of macromolecule metabolic process (BP)
GO:0016462	pyrophosphatase activity	MF	19	GO:0016462 – pyrophosphatase activity (MF)
