,TPM_trimed_0h,TPM_trimed_16h,TPM_trimed_48h,TPM_96h,TPM_Early,TPM_Late
g298,1.8353863365086678,0.26438101745910336,0.8435202720979793,0.9978976521970955,0.5809045302395731,0.9947156166258735
g299,16.14015320038444,12.67347792969354,24.33323515867507,14.665079800303374,14.474463078015756,22.620453589597055
g300,594.3904161433428,152.34130737501135,96.2974806030555,115.39764359647171,113.41317722400231,157.80893585040144
g326,3.7918779408807946,46.12089630308553,63.11848852861228,59.49307073880611,61.31852281795728,58.85796087780376
g327,2.2693035837637647,3.090558915897656,6.271600789000253,15.015805128453684,12.341507403576408,5.440390276465152
g328,10.28566420302639,87.03327052973769,214.8338175086528,105.49022953908316,143.9104342628939,30.561924344644375
g329,1.0200938410859703,0.2892192464682971,1.4760519754482824,3.84288949280588,3.1293260752629264,0.5895429938586982
g330,0.6543529689470848,0.0189829642663847,0.06811535097442865,0.21936470357706728,0.1165010289660069,0.07636956786572435
g331,1.616172450809672,0.0,0.0330094730024728,0.28892332658078734,0.1767612875284155,0.19963650416730194
g332,2.0125968183968745,0.0383509233944322,0.06762950681626585,0.3874481623057635,0.1397986098624037,0.3279847000825675
g333,4.781514489677457,0.13702793434729177,0.2943341844321647,2.42293363022533,2.3231415111037785,2.736895879639029
g334,503.89708451764966,100.08970356328223,90.2046588260742,103.5262823632509,111.81814106660669,171.91843401314597
g335,0.04239692053430545,0.0223396309968844,0.0,47.67980172536173,31.058874918741225,113.7926018726339
g336,100.39769386918351,1107.0770389418005,1127.9100434445422,774.5801684053489,749.368430673051,795.5194462916888
g337,2.902938910928288,6.31700482993646,4.181387862465646,6.930162931113221,4.545422156164452,6.671142114498869
g338,4.146124597440264,5.343393702387103,2.7447730082633113,33.59092619250343,20.117553634669342,21.79084249413748
g339,9.034395488871338,4.341596660883983,5.628488760511941,7.681191671381592,5.523574687128612,6.923183305714318
g340,0.0,0.09786772688447234,0.0887835498016543,0.12308444426663195,0.2663610615424598,0.0
g341,45.70753394024911,2.6679385523481476,22.024554922013984,6.415771785014481,6.29463525316284,11.122486243298113
