anchor_location1	start1	end1	anchor1_annotation	anchor_location1	start2	end2	anchor2_annotation	loop_type	loop_size
HiC_scaffold_9	1000000	1005000	TAD_90	HiC_scaffold_9	1395000	1400000	TAD_91	Inter-TAD	395000
HiC_scaffold_9	1075000	1080000	TAD_90	HiC_scaffold_9	1120000	1125000	TAD_90	Intra-TAD	45000
HiC_scaffold_9	1210000	1220000	Boundary	HiC_scaffold_9	1360000	1370000	TAD_91	TAD-Boundary	150000
HiC_scaffold_9	1450000	1460000	TAD_91	HiC_scaffold_9	1500000	1510000	TAD_91	Intra-TAD	50000
HiC_scaffold_9	1470000	1480000	TAD_91	HiC_scaffold_9	1520000	1530000	TAD_91	Intra-TAD	50000
HiC_scaffold_9	2850000	2855000	TAD_96	HiC_scaffold_9	2980000	2985000	TAD_96	Intra-TAD	130000
HiC_scaffold_9	3050000	3055000	TAD_96	HiC_scaffold_9	3090000	3095000	TAD_96	Intra-TAD	40000
HiC_scaffold_9	3170000	3180000	TAD_96	HiC_scaffold_9	3220000	3230000	TAD_96	Intra-TAD	50000
HiC_scaffold_9	3300000	3305000	TAD_96	HiC_scaffold_9	3380000	3385000	TAD_96	Intra-TAD	80000
HiC_scaffold_9	3475000	3480000	Boundary	HiC_scaffold_9	3555000	3560000	TAD_97	TAD-Boundary	80000
HiC_scaffold_9	3670000	3680000	Boundary	HiC_scaffold_9	3810000	3820000	TAD_98	TAD-Boundary	140000
HiC_scaffold_9	3800000	3810000	TAD_98	HiC_scaffold_9	3880000	3890000	TAD_98	Intra-TAD	80000
