,TPM_trimed_0h,TPM_trimed_16h,TPM_trimed_48h,TPM_control_96h,TPM_Early,TPM_Late
g26307,-1.01986219,-0.59531788,-0.816468017,1.611957215,0.457306398,0.362384474
g26308,-1.07325458,-0.726844762,1.745886313,0.032048361,-0.356633281,0.378797948
g26309,-0.00232842,-1.198119773,-1.03379898,0.718846107,0.113183918,1.402217149
g26310,1.986294326,-0.621413044,-0.589982252,-0.235157818,-0.514249546,-0.025491665
g26311,1.92184795,-0.731916764,-0.519514653,-0.045487001,-0.702057698,0.077128167
g26312,-1.081500245,-1.064238899,0.542079504,1.5267773,0.225387989,-0.148505649
g26313,-0.782372457,-1.092864929,1.162674898,0.208928427,1.165942827,-0.662308766
g26314,-0.801789465,-0.81129867,-0.538262811,0.92363964,-0.335473995,1.5631853
g26315,-0.907645011,-1.056449365,-0.544665901,0.894295329,0.232592735,1.381872213
g26316,-0.110903836,-1.486511075,-0.244421551,1.365348426,-0.370256812,0.846744848
g26317,-0.433184414,-1.214079938,0.181758274,1.567027589,-0.700605477,0.599083966
g26318,-1.180918484,1.473926734,-0.915693231,-0.142152325,0.007064095,0.75777321
g26319,-0.686317643,-0.762381882,-0.616406616,1.396692895,1.16896577,-0.500552524
g26320,-0.749300667,-0.943018148,-0.824600125,0.269286352,1.491823532,0.755809055
g26321,1.468766074,-1.040510683,-0.598791391,-0.108563229,-0.68227106,0.961370289
g26322,2.041174898,-0.418917474,-0.414089326,-0.409696054,-0.396632526,-0.401839517
g26323,1.691538551,0.06453538,-1.267491738,0.280552817,-0.107526902,-0.661608109
g26324,0.525048689,0.836848233,-1.634047933,0.809942581,0.257069703,-0.794861273
g26325,-1.215787076,-0.425274154,0.807144686,1.54324921,-0.522485573,-0.186847093
g26326,-1.468904584,-0.46225618,1.401253598,0.446132712,-0.439040742,0.522815197
g26327,-0.25858907,-0.73088995,-0.743036976,-0.780453165,1.056217912,1.45675125
g26328,1.682197279,-0.997108714,-0.091539819,-0.646684192,0.638121014,-0.584985569
g26329,-0.167853744,-1.009370489,1.798864495,0.351769866,-0.242188,-0.731222128
g26330,0.241001635,-0.668369648,0.937732055,0.051715902,-1.595425256,1.033345312
g26331,-1.850868813,-0.056673286,0.918182269,-0.067730412,0.815517939,0.241572303
g26332,-1.013812125,1.756494638,0.30597071,-0.392419919,-0.788539836,0.132306532
g26333,-1.69353937,1.3128439,-0.263747983,0.505719403,-0.122246956,0.260971007
g26334,-1.861996479,0.841344556,0.771955544,0.351636214,-0.275352425,0.172412591
g26335,-1.331790687,-0.693638891,0.435401968,1.505442384,0.420240809,-0.335655584
g26336,-1.059157142,-0.977220616,-0.612423413,1.251497778,0.751983229,0.645320164
g26337,-1.100311623,-0.298487335,-0.883019386,0.072582913,0.617345958,1.591889473
g26348,-0.862413331,-0.87157848,-0.86371591,0.731193924,0.44642654,1.420087257
g26349,-0.869670243,-0.918551011,-0.682172624,0.371985647,0.503976482,1.594431749
g26350,2.041241452,-0.40824829,-0.40824829,-0.40824829,-0.40824829,-0.40824829
g26351,1.745533841,0.259445989,0.311534236,-0.772171356,-0.772171356,-0.772171356
g26353,2.041241452,-0.40824829,-0.40824829,-0.40824829,-0.40824829,-0.40824829
g26367,-0.782145765,-0.933107688,-0.927479209,1.305456365,0.49692604,0.840350256
g26368,1.039900037,1.155248157,0.468319403,-0.887822532,-0.887822532,-0.887822532
g26369,-0.385037001,-1.064247927,-1.026472354,1.467175614,0.550413464,0.458168203
g26370,1.743981561,-0.904846091,-1.013724206,-0.143778995,0.016366333,0.302001398
g26371,0.282944612,0.036606103,1.831888787,-0.622032997,-0.708495445,-0.820911059
g26372,1.564035365,-0.806659618,-0.868918199,0.907612554,-0.459069675,-0.337000426
g26373,-0.077554711,1.617912235,0.716237872,-0.864203958,-0.42497336,-0.967418078
g26375,-0.66029335,1.823447402,0.522559391,-0.643149626,-0.454675413,-0.587888404
g26376,2.038834982,-0.464083908,-0.317692207,-0.410176902,-0.423645578,-0.423236386
g26377,1.93271631,0.245424753,-0.427987623,-0.572525269,-0.586394386,-0.591233785
g26378,-1.028999004,-0.606998097,-0.23389131,1.446785628,1.028653766,-0.605550982
g26379,-1.188260143,-0.684254703,-0.375031496,0.626986244,0.012481375,1.608078722
g26381,1.968116944,0.051151458,-0.28541946,-0.514494341,-0.478685491,-0.740669109
g26382,-0.123376961,-0.086313559,-1.683327735,1.293868582,0.680461801,-0.081312128
g26383,-0.725247581,-1.045752556,-0.670917314,1.470179674,0.871045516,0.10069226
