"gene","Compartment","log2FoldChange"
"g24986","A",3.43202941259905
"g1397","A",0.754289193381551
"g17039","A",-1.60914549249686
"g27527","A",-0.860742721897623
"g10476","A",-3.21420940585619
"g5827","A",1.06731526846247
"g16639","A",-3.27499545830433
"g21306","A",-1.48517936018371
"g19637","A",1.09450748754878
"g7676","A",1.03658168574314
"g3122","A",3.1070004764947
"g27080","A",2.09521001379204
"g7486","A",3.90596850152702
"g1791","A",1.19638575025252
"g1247","A",-2.0982272357296
"g5848","A",1.26733517200615
"g6824","A",1.27359740500455
"g17155","A",3.62398743020325
"g16787","A",0.838261462819453
"g13193","A",-0.847487394096827
"g7195","A",1.22455343857632
"g24926","A",1.23349508719292
"g29736","A",1.1226827023694
"g11273","A",5.06741333825689
"g17992","A",2.3215628884476
"g11596","A",0.814049119832768
"g24263","A",0.9138825705854
"g3004","A",5.30034464785591
"g21056","A",1.13450084197269
"g16577","A",-0.86815139102239
"g22508","A",3.70984798178578
"g21374","A",-1.36553733597609
"g19784","A",4.25015001644016
"g9085","A",5.17798431185882
"g3258","A",2.85911919720252
"g13288","A",1.90594969326246
"g4161","A",-3.05365129783832
"g16424","A",0.966482284924651
"g2606","A",1.82269304002836
"g7719","A",1.8836345853142
"g7076","A",1.27692256909083
"g867","A",-1.13569276293409
"g5722","A",2.09035805455424
"g1872","A",4.73008256617968
"g1243","A",-1.04686784927883
"g10773","A",-0.993170708588541
"g9981","A",0.715663411620173
"g20358","A",1.10058114995158
"g11352","A",4.99665262354993
"g10620","A",5.12849256792293
"g5823","A",5.14000135203909
"g28456","A",-1.27311312621102
"g4301","A",3.39657463465079
"g26264","A",1.82984998119215
"g8867","A",-0.890814603905989
"g29669","A",-1.01682617671769
"g20171","A",1.40426378780166
"g21478","A",1.48661410227959
"g29729","A",0.979445590896651
"g12635","A",2.85411756103591
"g16114","A",1.29068451666885
"g24043","A",4.66989125908748
"g8898","A",1.42004119211757
"g11272","A",4.4628252654263
"g14177","A",2.7760959821308
"g6435","A",4.71315599036057
"g19716","A",3.14339018529861
"g20661","A",-1.14021851523773
"g1054","A",1.21571889724796
"g11453","A",1.0483630382141
"g5832","A",1.11519022960676
"g3961","A",-1.30779544114474
"g7290","A",-1.85436749529658
"g20047","A",-1.44781160970407
"g16673","A",1.99357881513551
"g1259","A",0.861167101889103
"g13325","A",-1.49724054579724
"g16756","A",0.679328702195062
"g16643","A",-1.21011361196859
"g458","A",-0.729514025270936
"g29489","A",-2.18048591598519
"g29112","A",-2.13899247432887
"g7691","A",3.06491424098456
"g28389","A",-1.79604836434365
"g3963","A",-1.3733337250118
"g29678","A",2.36517917739075
"g21419","A",-1.3038789369171
"g7194","A",1.06014335409244
"g12778","A",-1.36052210951031
"g10509","A",-1.96687661834841
"g21581","A",-2.05734957723824
"g8341","A",-1.18892110882995
"g25064","A",-1.39101676770083
"g19943","A",1.99510174615519
"g26910","A",3.45605112535011
"g24991","A",4.21891074944988
"g10778","A",1.43595682173152
"g18386","A",1.38620912064545
"g5847","A",1.00844495418134
"g16769","A",1.48358167681572
"g24060","A",4.57870949595924
"g10978","A",-2.80796020742672
"g14530","A",2.27094550132825
"g7101","A",3.89307879990854
"g10254","A",4.4563550515035
"g794","A",1.25995167742794
"g17353","A",-0.997336075317089
"g15824","A",1.10214350292179
"g22334","A",-0.675241476097729
"g10780","A",1.30953906323989
"g1671","A",1.30644603346727
"g849","A",0.944535302236447
"g5264","A",2.30875819186015
"g16135","A",-0.706449600211929
"g24063","A",2.8004825772898
"g21471","A",2.95137718816011
"g21927","A",-4.78973141918392
"g7998","A",2.44176692696592
"g23118","A",-2.44685172850849
"g3182","A",-1.23571115904494
"g12633","A",4.107437372926
"g1654","A",-0.690779479691641
"g26895","A",2.59218244996292
"g13452","A",1.07953703745493
"g17852","A",-0.604459582120742
"g15979","A",0.874880773291885
"g1130","A",-0.571310325372695
"g15035","A",0.644408554236842
"g24056","A",-1.39931326953084
"g23335","A",0.664227178714564
"g989","A",1.19867953852332
"g3001","A",2.98974336514927
"g26234","A",1.57525185695612
"g4255","A",2.33165488670337
"g21984","A",-3.01960318094462
"g6681","A",1.86049993757703
"g9191","A",2.44164199874144
"g6678","A",1.34070391767212
"g15908","A",1.3993495474049
"g26937","A",2.69461822685175
"g10082","A",-1.07417817838169
"g21559","A",-2.88167451261819
"g4921","A",2.27879397684573
"g837","A",-0.842186721035676
"g10533","A",-0.916573176851295
"g21308","A",-1.3857516853275
"g26901","A",-1.24437725359699
"g29681","A",2.67303956713093
"g17836","A",4.56656219856815
"g11532","A",-0.985662197991373
"g12077","A",2.34303743267085
"g11665","A",3.97885428449084
"g1895","A",0.584167208124267
"g22216","A",-0.920253739004021
"g10419","A",0.993894201903399
"g29490","A",-2.4375016610543
"g12789","A",-3.19301016005498
"g21550","A",-1.12967727692896
"g18479","A",1.46348608465047
"g22214","A",-0.879299041499939
"g12509","A",0.629019170287205
"g16276","A",0.92970604511017
"g11368","A",3.97108836820411
"g26236","A",1.61284659385429
"g1327","A",-0.93460653658907
"g25335","A",-4.23250124233234
"g19983","A",5.25425502756329
"g1042","A",0.948489070310841
"g510","A",1.47747671573777
"g14364","A",-1.02416957352997
"g16781","A",-0.941977589516397
"g10880","A",4.87477830901405
"g19607","A",0.842537999351108
"g503","A",-0.605403506515488
"g24994","A",1.93698767529114
"g3964","A",2.56050096780407
"g14341","A",3.61196863329424
"g17232","A",-0.908408150082079
"g7814","A",4.26268864246375
