,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g7178,49.231294345516,4.24119022540807,0.565833646697263,7.49547194685865,6.60602332934146e-14,9.913551933040789e-12
g10148,1035.33468626236,1.624184930106,0.216955192250484,7.4862689998717,7.08590903587247e-14,1.05435924450719e-11
g8458,293.154099437224,3.31667162187539,0.446702501165117,7.42478856336073,1.12960216089695e-13,1.6666852723553498e-11
g17436,1169.17112289367,-2.43023029878899,0.327368533192888,-7.4235305241053,1.14038871450439e-13,1.66857875410567e-11
g13733,1479.19547610149,-3.08154049186117,0.415229756143379,-7.42129013219637,1.15984926644666e-13,1.68302755539426e-11
g27430,104.35876928548,-4.01351979149105,0.541908333308938,-7.406270663867,1.29900579163085e-13,1.86950358110283e-11
g5456,994.34292670686,2.83589629330001,0.383055675718784,7.40335275799946,1.32788384496352e-13,1.8955271991763798e-11
g3114,54.8119828694806,3.1719609158109,0.429379389571146,7.38731525744396,1.49823082154402e-13,2.12030213500114e-11
g4924,2762.04060397482,-4.35211327158585,0.5892127748847,-7.386318588285,1.50949861530438e-13,2.12030213500114e-11
g27395,2774.13945912949,4.55930051288947,0.617493686257118,7.3835581065213,1.54114360630925e-13,2.1475713840934797e-11
g22055,131.165702985614,4.19842225559476,0.569135599584358,7.3768399985186,1.6209060642427e-13,2.2409345414152298e-11
g15832,528.839371145131,-2.7849314720675,0.377866365405655,-7.37014915068655,1.7043724411709997e-13,2.33791963453753e-11
g14530,70.5727648599545,3.58099150785014,0.486310642460917,7.3635886102121,1.79030861243595e-13,2.43676268350004e-11
g22172,3163.08496231402,-2.23582772536531,0.304895997957939,-7.33308321637511,2.24917177119028e-13,3.03776599681223e-11
g27694,644.159686013677,-3.10685502547849,0.424236298432811,-7.32340687714759,2.41753376335385e-13,3.2402334211425196e-11
g8118,467.359250391152,1.94842888993719,0.267598986169855,7.28115198725174,3.30981528773047e-13,4.4025558198463296e-11
g641,1040.89652315145,2.49831837236134,0.343230368289645,7.27883836389751,3.3670680804735897e-13,4.4450361922522795e-11
g22117,309.372933638875,2.92863710042806,0.402573193302218,7.27479412229392,3.46949166321357e-13,4.5460697479629795e-11
