,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g2068,269.285736532458,2.75158585143733,0.547340729199953,5.02719002011658,4.97719108011905e-07,4.51265324597461e-05
g15504,133.26646085879,2.09063895984175,0.417548041945556,5.00694231518956,5.53014912490151e-07,4.98718902900209e-05
g14844,222.138154754141,1.23119603435331,0.246004241446953,5.00477563765418,5.59271323939981e-07,5.01678276964034e-05
g26267,352.683247879033,1.58632944865029,0.317940812930174,4.98938602449467,6.0571499201815e-07,5.40464424624025e-05
g16596,54.6017648703005,-2.02693424638757,0.406362690403924,-4.98799297832388,6.10097856514079e-07,5.41369320361972e-05
g20814,44.3655146422062,2.45310147982781,0.491896401628349,4.98702871520748,6.13149550457404e-07,5.41369320361972e-05
g20617,5399.29974929227,1.99446516222217,0.401128879519531,4.97213056464827,6.62210806952574e-07,5.75645517961248e-05
g23122,1699.4451406864,2.63200304881229,0.529269298187072,4.97289953871838,6.59588462383606e-07,5.75645517961248e-05
g23542,147.871805951276,-1.950571266741,0.392236563685122,-4.97294604158034,6.5943020028238e-07,5.75645517961248e-05
g27159,23.3571218335236,8.46493964225049,1.70549551035707,4.96333153083366,6.92941490807112e-07,5.99270015434417e-05
g14712,38.9937872674821,2.33409777409501,0.47098302053194,4.95580025678806,7.20331882091258e-07,6.17283783547057e-05
g16643,48.1326215362563,3.03110612715661,0.611653282511186,4.95559529201281,7.21091706349443e-07,6.17283783547057e-05
g19554,19689.8646271586,1.30785394715875,0.263982157527476,4.95432706289107,7.25810353716343e-07,6.18185141670324e-05
g13733,1479.19547610149,1.92307220780593,0.388995597003987,4.94368631063508,7.66590184829399e-07,6.47529838075072e-05
g14376,2393.42440957584,2.37291094154064,0.480080204268813,4.94273856834966,7.70327519890444e-07,6.47529838075072e-05
g26691,6449.9747806499,2.46863153900058,0.499483286641589,4.94237065588138,7.71783073132647e-07,6.47529838075072e-05
g4968,874.292435957782,2.44370027160545,0.495422816084976,4.93255496570892,8.11609301339429e-07,6.7756822198276e-05
g21212,104.773464898182,2.23058721634828,0.452305703901274,4.93159205623275,8.15621140076495e-07,6.7756822198276e-05
g2135,6198.25474378741,2.51855879926513,0.511250874420684,4.92626795429738,8.38150408125858e-07,6.92556982866333e-05
g27283,18.5613472184399,8.96535907372345,1.82022944289603,4.92540053602216,8.4187726214183e-07,6.92556982866333e-05
